ATP1A1	SLC8A1
CREB1	HMOX1
TFAP2A	HMOX1
STAT5A	IL2RA
CEBPB	IL4
ESR1	JUN
SMAD4	JUN
SP3	LCAT
SP3	LHB
NFKB1	MAT2A
JUN	MGP
FOS	MMP3
JUN	MMP3
NFKB1	MMP3
RELA	MMP3
FLI1	MMP9
SPI1	NFKB1
TP53	NME1
FOS	NQO1
RELA	NR4A1
JUN	NRAS
TFAP2A	POLD2
ETV4	PTGS2
PPARG	PTGS2
MYC	PTMA
SP1	RPL10
JUN	SERPINB2
USF2	SERPINE1
NFIC	SFTPC
ETS2	SPP1
NFIC	TFPI2
ATF1	TH
HOXA4	TH
JUND	TIMP1
ETS1	TNF
NFKB1	TNNC1
SMAD4	TNNC1
NFKB1	TP53
TP53	TYMS
ETV4	VIM
