ATP1A1	SLC8A1
EGR1	COL2A1
SP3	COL2A1
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
E2F1	HIST1H2AM
TFAP2A	HMOX1
ATF2	INS
SP1	ITGA2
ETS1	MMP3
JUN	MMP7
FLI1	MMP9
TP53	NME1
FOS	NQO1
RELA	NR4A1
JUN	NRAS
CREB1	ODC1
WT1	ODC1
NFIC	PCK2
TP53	PCNA
ELK1	PDGFB
SP1	PDGFB
PAX6	PDHX
JUN	PENK
ETS2	PLAU
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
TFAP2A	POLD2
NFIC	POLE2
CREB1	PTGS2
PPARG	PTGS2
REL	PTGS2
USF1	PTGS2
USF2	PTGS2
MYC	PTMA
RARA	S100A8
PPARA	SERPINE1
POU2F1	SFTPA1
NFIC	SFTPC
POU2F1	SPP1
JUN	TFRC
CREM	TH
HOXA4	TH
STAT1	TIMP1
ERG	TNNC1
SMAD3	TNNC1
SMAD4	TNNC1
STAT1	TP53
HIF1A	VHL
