HRH1	GNAQ
NFYA	HLA-DRB3
NFYA	HLA-DRB4
NFYA	HLA-DRB5
NFYA	CD74
NFYB	LOC100507709
NFYB	LOC100507714
NFYB	LOC100509457
NFYB	HLA-DOA
NFYB	HLA-DPB1
NFYB	HLA-DQA1
NFYC	LOC100507714
NFYC	LOC100509457
NFYC	LOC101060835
NFYC	HLA-DQA1
MAPK8	IL18
CREB3L1	AQP2
CREB5	AQP2
USF1	APEX1
EGR1	APOA1
SP3	APOA1
USF1	APOA2
USF2	APOA2
CEBPA	APOB
PPARA	APOB
SPI1	B2M
USF1	B2M
SP2	CCND1
SP3	CCND1
TP53	CCND1
USF1	CCND1
ETS1	CD79B
POU2F1	CD79B
NFKB1	CD83
SP1	CD83
SP3	CD83
EGR1	CD9
PPARG	CDKN1A
USF1	CEACAM6
NFIC	CSNK2A1
NFKB1	CSNK2A1
ETS1	CSNK2B
CEBPB	CSRP1
REL	CSRP1
STAT3	CSRP1
MYC	CSTB
SP1	CTGF
RELA	CTSB
EGR1	EGFR
ETV4	ERBB2
CEBPB	F8
NFKB1	F8
AR	F9
CEBPA	F9
NFKB1	FBP1
ETS1	FOSL1
ETS2	FOSL1
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
NFKB1	HMOX1
CEBPB	IL5
JUN	IL5
JUNB	IVL
CREB1	JUN
ETS2	JUN
SP3	KLK3
SP1	KRT5
ATF1	LDHA
USF1	LIPC
ETS1	LYZ
SP2	MAT2A
ETV4	MMP2
SP1	MMP2
TFAP2A	MMP2
RELA	MMP3
E2F4	POLA
MYB	POLA
NFIC	POLA
TFAP2A	POLA
TP53	PTTG1
CREB1	REN
RARG	S100A8
PPARD	SERPINE1
JUN	SFTPA1
WT1	SOD1
ETS1	SPP1
SP1	SPP1
ATF1	TG
CREB1	TH
USF2	THBS1
JUNB	TIMP1
TFAP2A	TIMP1
ETS1	TNNC1
SMAD2	TNNC1
CEBPB	TOP1
NFIC	TP53
USF1	TP53
PAX1	VHL
ERG	VWF
ETS1	VWF
ETS2	VWF
NFIC	VWF
