ATP1A1	SLC8A1
RXRG	ACSBG1
RXRG	ACAA1
RXRG	APOA1
RXRG	ILK
RXRG	MMP1
RXRG	PCK1
RXRG	ACSL5
RXRG	UBC
RXRG	ACSBG2
EGR1	CCL5
MAX	CCND1
JUN	IL1B
JUN	CCL3L3
JUN	CCL4
NFKB1	IL12A
RELA	IL12A
RELA	CCL3
SPI1	FCGR1A
CREB1	LOC100509457
CREB1	HLA-DMB
NFYA	LOC100509457
NFYB	HLA-DPB1
NFYB	HLA-DQA1
MAPK3	NOS2
MAPK3	IL23A
MAPK9	IL1A
MAPK9	TNF
RFX5	HLA-DQB1
RFX5	HLA-DRB4
RFX5	HLA-DRB5
RFXAP	HLA-DRA
RFXAP	HLA-DRB4
TCF7L1	JUN
HIF1A	HSP90B1
JUN	PLAUR
MYB	CDK1
MYB	TSC22D3
MYBL1	TSC22D3
MYC	CCNB1
ESR2	CD68
SPI1	CD68
POU2F1	CD79A
POU2F2	CD79A
PPARG	CDKN1A
TFAP2A	COL1A1
STAT3	FOS
ETS1	FOSL1
POU2F2	HLA-DRA
ATF2	HLA-E
NFKB1	HMOX1
ATF1	IL1B
CEBPB	IL1B
POU2F2	IL2
NFKB1	IL2RA
ETS2	IL5
CREB1	JUN
EGR1	JUN
ERG	JUN
ESR2	JUN
RARB	JUN
SMAD3	JUN
SP1	KRT5
TFAP2A	KRT5
SP1	LCAT
ETS1	LCK
CREM	LDHC
EGR1	LHB
ETS1	LYZ
JUN	MAT2A
MYB	MAT2A
SP1	MAT2A
NFIC	MBP
HIF1A	MDK
RARG	MIF
CEBPA	MMP2
BCL3	MYB
ETS1	MYB
ETV4	MYB
CEBPE	MYC
MYB	MYC
MYBL2	MYC
SP1	MYC
E2F4	MYCN
SP3	MYCN
ATF1	NTS
CREB1	NTS
PPARD	RELA
CREB1	REN
TP53	S100B
RELA	SAA2
EPAS1	SERPINE1
PPARG	SERPINE1
USF1	SP1
ETS1	SPP1
CEBPA	TF
ESR1	TFF1
ATF1	TFRC
CREB1	TG
ETV4	TIMP1
JUNB	TIMP1
ATF2	TNF
CEBPD	TNF
SP3	TNF
FLI1	TNNC1
FOS	TP53
NFIC	TP53
STAT3	TRH
JUN	TSHB
ESR1	UBE2L3
TFAP2A	VHL
