ADRA1B	AP2M1
ADRB2	HNRNPU
HNRNPU	MAX
STAT3	HIF1A
ADRB2	NEDD4
NEDD4	PPARG
STAT3	NFKB1
ADRB2	REL
REL	CREBBP
PML	ARNT
STAT3	RELA
EP300	SP3
ADRB2	SRC
SRC	RXRA
TSG101	NR3C1
SRC	THRB
THRB	RXRG
STAT3	NFKB2
ADRB3	SRC
SRC	STAT3
SRC	CREBBP
CREBBP	ETS1
CREBBP	FOS
SRC	ARRB2
CREBBP	MYC
SRC	TP53
CREBBP	PPARG
RXRA	PPARA
CREBBP	SP3
THRB	RXRB
CREB3L3	CRH
TP53	CDKN1A
NFKB1	CCL5
MAPK12	IL8
RBPJ	FCER2
CTNNB1	CCND3
CREB3L4	PCNA
RELA	IL6
CREBBP	EPO
CREBBP	PFKL
EP300	EPO
EP300	PFKL
HIF1A	EPO
STAT3	SOCS2
STAT3	CCND3
STAT4	CCND1
STAT5A	CCND1
STAT5A	SOCS5
STAT5B	MYC
STAT6	MYC
TCF7	MITF
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
TP53	RRM2B
EPAS1	TGFB1
MYC	CDK4
MYC	VEGFA
RELA	NOS2
CREB3L4	MCL1
PPARA	ACSL3
PPARA	SCP2
PPARG	ACSL6
RXRA	NR1H3
RXRA	ACADL
RXRA	PLTP
RXRB	ACSBG1
RXRG	FADS2
MAX	CDK4
MAPK9	NOS2
RFXANK	HLA-DMA
CREB1	TINAGL1
CREB1	TWF2
SP2	CD14
SP3	CHI3L1
SP1	CYP21A2
MYC	DDX18
NFKB1	HMOX1
SMAD7	HMOX1
RARA	MIF
RARG	MIF
CEBPA	MMP11
FLI1	MMP2
POU2F2	MYC
ATF2	PLAT
ETS1	TNF
