ATF6B	BDNF
JUND	FOSL1
SP1	FOSL1
ATF1	GH2
POU2F1	HIST2H2BE
FOS	HLA-DRA
ETV4	HPGD
NFIC	HRAS
SP1	HRAS
E2F4	HSP90B1
TFAP2A	HSPA1A
SP1	HSPA8
CEBPB	IL5
ETS1	IL5
ETS2	IL5
JUND	IL5
POU2F2	IL5
SPI1	IL5
ATF1	IL6
CREB1	IL6
EGR1	IL6
TFAP2A	ITGA2
HIF1A	ITGB2
SMAD4	JUN
SP1	JUN
NFKB1	KLK3
PGR	KLK3
SP3	KLK3
SP1	KRT5
TFAP2A	KRT5
SP1	LCAT
SP3	LCAT
ETS1	LCK
SP1	LDHA
CREM	LDHC
EGR1	LHB
SP3	LHB
PPARA	LIPA
PPARD	LIPA
ESR1	MYC
RELA	MYC
SP1	MYC
ELK1	PDGFB
NFKB1	PDGFB
E2F4	POLA
E2F1	POLA
MYB	POLA
NFIC	POLA
MYC	PTMA
SP1	RELA
RARB	S100A8
SPI1	SERPINB1
PPARA	SERPINE1
EGR1	SOD1
SP1	SPN
ETS2	SPP1
JUN	SPP1
ESR1	TFF1
ELK1	TNF
SP1	TNF
SP3	TNF
SPI1	TNF
ERG	TNNC1
ETS1	TNNC1
JUN	TNNC1
NFKB1	TNNC1
SMAD3	TNNC1
SMAD4	TNNC1
SP3	TNPO1
TFAP2A	TNPO1
ETV4	VIM
